Gene	chrom	start	end
LOC643837	1	767064	787889
SAMD11	1	862130	876151
NOC2L	1	880237	892768
KLHL17	1	899172	901100
PLEKHN1	1	903766	907171
C1orf170	1	910591	916634
HES4	1	934331	934385
AGRN	1	957474	991488
LOC401934	1	1008286	1008535
C1orf159	1	1018632	1050058
MIR200B	1	1102515	1102562
MIR429	1	1104402	1104452
TTLL10	1	1109751	1133330
TNFRSF18	1	1139830	1139874
SDF4	1	1152439	1166535
B3GALT6	1	1169032	1169091
UBE2J2	1	1189360	1208450
SCNN1D	1	1217984	1219871
ACAP3	1	1228154	1241843
PUSL1	1	1246037	1246084
CPSF3L	1	1249160	1255588
DVL1	1	1284278	1284323
ATAD3A	1	1450966	1451025
C1orf70	1	1471075	1473662
SSU72	1	1477184	1509144
MIB2	1	1552123	1565998
CDK11B	1	1585691	1650761
SLC35E2	1	1663006	1664221
NADK	1	1683950	1711288
GNB1	1	1718014	1820676
CALML6	1	1846716	1846764
TMEM52	1	1849019	1849077
KIAA1751	1	1886614	1934919
GABRD	1	1951830	1961109
PRKCZ	1	1982466	2115938
C1orf86	1	2117165	2137918
SKI	1	2161286	2241513
MORN1	1	2253652	2321454
RER1	1	2323891	2335155
PEX10	1	2337092	2341626
PLCH2	1	2408420	2436965
PANK4	1	2440905	2455996
HES5	1	2460625	2460673
LOC115110	1	2483766	2483820
TNFRSF14	1	2490703	2495194
C1orf93	1	2520352	2520397
MMEL1	1	2524351	2563933
FLJ42875	1	2976467	2981134
PRDM16	1	2986290	3354772
ARHGEF16	1	3371694	3397694
MEGF6	1	3408097	3527124
TPRG1L	1	3543533	3545485
WDR8	1	3547385	3564973
TP73	1	3570330	3652701
KIAA0495	1	3654033	3662949
CCDC27	1	3671017	3687993
LOC388588	1	3689904	3689949
LRRC47	1	3697059	3711729
KIAA0562	1	3729031	3772253
DFFB	1	3774795	3802022
C1orf174	1	3807610	3816038
LOC100133612	1	3819073	3830298
LOC284661	1	4475151	4481364
AJAP1	1	4715570	4843370
NPHP4	1	5922982	6051039
KCNAB2	1	6054682	6158612
CHD5	1	6163152	6238541
RPL22	1	6245741	6258709
RNF207	1	6267085	6281163
ICMT	1	6282504	6294465
HES3	1	6304389	6305606
GPR153	1	6307604	6319892
ACOT7	1	6326230	6451665
HES2	1	6476271	6478059
ESPN	1	6487447	6520497
TNFRSF25	1	6524138	6525550
PLEKHG5	1	6527158	6579501
NOL9	1	6584323	6614052
TAS1R1	1	6618009	6638289
ZBTB48	1	6640539	6648620
KLHL21	1	6650953	6661216
PHF13	1	6675783	6683301
THAP3	1	6688912	6695207
DNAJC11	1	6696449	6761030
CAMTA1	1	6847636	7828935
VAMP3	1	7833544	7840454
PER3	1	7846756	7903007
UTS2	1	7908041	7913514
TNFRSF9	1	7976614	8001245
PARK7	1	8022255	8044938
ERRFI1	1	8073201	8084498
SLC45A1	1	8386256	8403665
RERE	1	8413280	8876563
ENO1	1	8922374	8938296
CA6	1	9006751	9035108
SLC2A7	1	9065119	9084491
SLC2A5	1	9096995	9146171
GPR157	1	9165285	9188148
MIR34A	1	9211743	9211797
H6PD	1	9297159	9330258
SPSB1	1	9354680	9427445
SLC25A33	1	9600818	9642850
TMEM201	1	9650802	9673051
PIK3CD	1	9712619	9789145
CLSTN1	1	9791059	9882677
CTNNBIP1	1	9910349	9969075
LZIC	1	9990357	10002826
NMNAT1	1	10004476	10043964
RBP7	1	10059707	10071809
UBE4B	1	10093554	10240877
KIF1B	1	10272414	10441042
PGD	1	10459972	10479433
APITD1	1	10493672	10502823
APITD1-CORT	1	10505050	10510927
DFFA	1	10521730	10531732
PEX14	1	10536144	10690793
CASZ1	1	10697093	10855919
C1orf127	1	11006507	11041206
TARDBP	1	11074422	11085365
MASP2	1	11087725	11105701
SRM	1	11114627	11116728
EXOSC10	1	11126852	11158872
MTOR	1	11167237	11322027
UBIAD1	1	11334224	11347538
PTCHD2	1	11539768	11597634
FBXO2	1	11709660	11714171
FBXO44	1	11715373	11722355
FBXO6	1	11724766	11733107
MAD2L2	1	11735134	11750496
C1orf187	1	11753062	11778494
AGTRAP	1	11797187	11810841
MTHFR	1	11846392	11865157
CLCN6	1	11867683	11900997
NPPA-AS1	1	11903667	11907538
NPPB	1	11917526	11918692
KIAA2013	1	11980367	11983704
PLOD1	1	11995445	12035607
MFN2	1	12041106	12073444
MIIP	1	12080334	12088926
TNFRSF8	1	12124668	12202377
TNFRSF1B	1	12228049	12269284
VPS13D	1	12291544	12571107
DHRS3	1	12627920	12677466
AADACL4	1	12704842	12726755
AADACL3	1	12777506	12788133
C1orf158	1	12806331	12818822
PRAMEF12	1	12836589	12836648
PRAMEF2	1	12917404	12917461
LRRC38	1	13801823	13838983
PDPN	1	13911634	13943062
PRDM2	1	14029172	14150961
KAZN	1	14926640	15443577
C1orf126	1	15446197	15478007
TMEM51	1	15480857	15546661
FHAD1	1	15574560	15724023
EFHD2	1	15736730	15756546
CTRC	1	15767025	15771703
CELA2A	1	15784748	15796947
CELA2B	1	15804053	15815156
CASP9	1	15819458	15849449
DNAJC16	1	15854182	15896764
AGMAT	1	15900050	15910493
DDI2	1	15945222	15987243
PLEKHM2	1	16011915	16061280
SLC25A34	1	16065131	16067899
TMEM82	1	16070482	16074499
FBLIM1	1	16088258	16112220
FLJ37453	1	16162278	16173278
SPEN	1	16175511	16266728
ZBTB17	1	16268343	16301039
C1orf64	1	16331428	16332974
HSPB7	1	16340518	16343658
CLCNKA	1	16352552	16360041
CLCNKB	1	16374307	16383299
FAM131C	1	16387572	16397974
EPHA2	1	16450821	16481697
ARHGEF19	1	16524574	16536001
RSG1	1	16558976	16562769
FBXO42	1	16577077	16677819
C1orf144	1	16694566	16723977
SPATA21	1	16725723	16763550
NECAP2	1	16767902	16786493
CROCCP3	1	16794173	16796245
NBPF1	1	16927124	16927179
CROCCP2	1	16944938	16944993
ESPNP	1	17045172	17045225
MST1P9	1	17088414	17088462
CROCC	1	17248996	17299457
MFAP2	1	17303386	17306386
ATP13A2	1	17313930	17337485
SDHB	1	17345871	17380309
PADI2	1	17393588	17443390
PADI1	1	17532254	17572507
PADI3	1	17576426	17610746
PADI4	1	17636264	17688346
PADI6	1	17699481	17727192
RCC2	1	17736292	17763267
ARHGEF10L	1	17867685	18022215
ACTL8	1	18083648	18151926
IGSF21	1	18436190	18704961
KLHDC7A	1	18810131	18811471
PAX7	1	18957565	19075370
TAS1R2	1	19167673	19185363
ALDH4A1	1	19198218	19229239
IFFO2	1	19230752	19280785
UBR4	1	19400997	19535352
KIAA0090	1	19546680	19577013
MRTO4	1	19581200	19586405
AKR7L	1	19593717	19600176
AKR7A3	1	19609138	19613494
AKR7A2	1	19630958	19637561
PQLC2	1	19639888	19654692
